molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL3813988,O=C(N/N=C/c1ccc(OCc2cccc(C(F)(F)F)c2)cc1)c1cc(O)c(O)c(O)c1,inactive,54720.0
CHEMBL3814488,O=C(N/N=C/c1ccc(OCc2ccccc2C(F)(F)F)cc1)c1cc(O)c(O)c(O)c1,inactive,15010.0
CHEMBL3814218,O=C(N/N=C/c1ccc(OCc2ccccc2)cc1)c1cc(O)c(O)c(O)c1,inactive,22020.0
CHEMBL3814312,COc1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,100000.0
CHEMBL3814439,COc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)c1,intermediate,8570.0
CHEMBL3814046,COc1ccccc1COc1cccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)c1,inactive,20520.0
CHEMBL3814839,O=C(N/N=C/c1cccc(OCc2cccc3ccccc23)c1)c1cc(O)c(O)c(O)c1,inactive,31300.0
CHEMBL3814810,N#Cc1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,69440.0
CHEMBL3815047,N#Cc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)c1,inactive,85260.0
CHEMBL3814989,N#Cc1ccccc1COc1cccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)c1,inactive,45380.0
CHEMBL3814622,CC(C)(C)c1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,35220.0
CHEMBL3814091,O=C(N/N=C/c1cccc(OCc2ccc(Cl)cc2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3814059,O=C(N/N=C/c1cccc(OCc2cccc(Cl)c2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3815035,O=C(N/N=C/c1cccc(OCc2ccccc2Cl)c1)c1cc(O)c(O)c(O)c1,inactive,36800.0
CHEMBL3814271,O=C(N/N=C/c1cccc(OCc2ccc(F)cc2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3813986,O=C(N/N=C/c1cccc(OCc2cccc(F)c2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3814912,O=C(N/N=C/c1cccc(OCc2ccccc2F)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3813765,O=C(N/N=C/c1cccc(OCc2ccc(C(F)(F)F)cc2)c1)c1cc(O)c(O)c(O)c1,inactive,16260.0
CHEMBL3813857,O=C(N/N=C/c1cccc(OCc2cccc(C(F)(F)F)c2)c1)c1cc(O)c(O)c(O)c1,inactive,100000.0
CHEMBL3814886,O=C(N/N=C/c1cccc(OCc2ccccc2C(F)(F)F)c1)c1cc(O)c(O)c(O)c1,inactive,19570.0
CHEMBL3814930,Cc1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)cc1,inactive,45790.0
CHEMBL3814845,Cc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)c2)c1,inactive,52100.0
CHEMBL3814691,Cc1ccccc1COc1cccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)c1,inactive,63240.0
CHEMBL3735192,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)c1cc(O)c(O)c(O)c1,inactive,40210.0
CHEMBL3813749,COc1cccc(COc2ccc(/C=N/NC(=O)c3cccc(O)c3)cc2)c1,inactive,100000.0
CHEMBL3814396,COc1cccc(COc2ccc(/C=N/NC(=O)c3ccc(O)cc3)cc2)c1,inactive,100000.0
CHEMBL3814450,O=C(N/N=C/c1cccc(OCc2ccccc2C(F)(F)F)c1)c1cc(O)cc(O)c1,inactive,100000.0
CHEMBL3814728,O=C(N/N=C/c1cccc(OCc2ccccc2C(F)(F)F)c1)c1ccc(O)c(O)c1,inactive,15530.0
CHEMBL3814603,O=C(N/N=C/c1cccc(OCc2ccccc2C(F)(F)F)c1)c1cccc(O)c1,inactive,100000.0
CHEMBL3813816,O=C(N/N=C/c1cccc(OCc2ccccc2C(F)(F)F)c1)c1ccc(O)cc1,inactive,100000.0
CHEMBL3814087,O=C(N/N=C/c1ccc(OCc2ccccc2C(F)(F)F)cc1)c1cc(O)cc(O)c1,inactive,100000.0
CHEMBL3814127,O=C(N/N=C/c1ccc(OCc2ccccc2C(F)(F)F)cc1)c1ccc(O)c(O)c1,inactive,16480.0
CHEMBL3814697,O=C(N/N=C/c1ccc(OCc2ccccc2C(F)(F)F)cc1)c1cccc(O)c1,inactive,100000.0
CHEMBL3815019,O=C(N/N=C/c1ccc(OCc2ccccc2C(F)(F)F)cc1)c1ccc(O)cc1,inactive,100000.0
CHEMBL322333,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)N(C)C,inactive,50560.0
CHEMBL3884319,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,inactive,10000.0
CHEMBL4082814,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1C[C@H]1CCCO1,active,870.0
CHEMBL4067356,Cc1nc2ccc(-c3ccc(CN4CCC[C@@H]4CO)cc3)cc2n1C[C@@H]1CCCO1,inactive,12700.0
CHEMBL4088607,Cc1nc2ccc(-c3ccc(CN4CCC[C@H]4CO)cc3)cc2n1C[C@H]1CCCO1,inactive,100000.0
CHEMBL4064624,Cc1nc2ccc(-c3ccc(CN4CCC[C@H]4CO)cc3)cc2n1C[C@@H]1CCCO1,inactive,100000.0
